Номер;Дебет реки;Электролиты в реке;Температура воды;Цена полимерной добавки;Цена волокнистой добавки;Цена электроэнергии;Цена речной воды;Цена сырья;Цена выброса в атмосферу;Цена слива в реку;Цена коагулянта;Расход промывной воды;Расход речной воды;Расход деминерализованной воды;Допустимо сульфата AL;Расход полимера;Расход волокна;Степень помола;Концентрация при отливе;Скорость;Прочность;Пластичность;Влагопрочность;Загрязнение воды;Загрязнение атмосферы;Затраты на производство
2;12,35622;0,00816;14,94;2,68;1,71;0,068;2,4;51,01;0,52;0,3;0,13;75039,6;12103,36;197,67;0,05;30,01;82,98;23;0,7;149,99;2,7;4,69;6,34;0,5841;0,0721;552,55
3;12,71844;0,00792;14,81;2,75;1,69;0,067;2,43;51,24;0,57;0,3;0,13;74049,06;12188,43;197,49;0,05;29,99;91,98;25,01;0,7;149,97;3,28;4,12;6,77;0,5882;0,0722;599,3
4;12,19233;0,008;14,7;2,78;1,71;0,068;2,47;51,86;0,53;0,3;0,13;74299,9;11895,55;197,46;0,05;30;100,01;27,01;0,7;149,96;3,61;3,66;7,67;0,5925;0,0722;651,12
5;12,55011;0,00777;14,61;2,77;1,75;0,065;2,52;50,48;0,55;0,3;0,13;75874,44;11867,49;198,61;0,05;29,99;110,05;30;0,7;149,98;3,64;3,23;10,06;0,6058;0,0723;710,27
6;12,25644;0,00796;14,55;2,71;1,75;0,065;2,57;47,46;0,53;0,3;0,13;75767,76;12186,47;199,88;0,05;45;75,02;27;0,7;150,01;3,11;3,48;9,43;0,6157;0,1005;625,13
7;11,80189;0,00826;14,52;2,63;1,7;0,066;2,6;46,69;0,57;0,3;0,13;75528,12;12255,98;199,3;0,05;45,02;82,99;24,99;0,7;150,04;3,12;4,16;8,15;0,6043;0,1056;629,83
8;13,33755;0,0079;14,53;2,55;1,66;0,065;2,62;49,43;0,58;0,3;0,13;76748,85;12043,23;197,36;0,05;45,01;91,98;26,99;0,7;150,06;3,43;3,71;9,14;0,6121;0,1057;663,64
9;12,9734;0,00834;14,56;2,5;1,66;0,066;2,61;51,92;0,58;0,3;0,14;76541,54;11988,49;197,14;0,05;45,02;100;30;0,7;150,05;3,39;3,19;11,66;0,6246;0,1065;721,65
10;12,60553;0,00764;14,62;2,48;1,68;0,068;2,59;51,35;0,57;0,3;0,14;75131,41;11962,73;199,99;0,05;45;110,01;20;0,7;150,02;2,29;6,12;7,68;0,6287;0,107;652,27
11;12,01778;0,00801;14,71;2,49;1,68;0,066;2,55;49,9;0,54;0,3;0,14;75419,63;11695,39;202,85;0,05;45;109,99;20;0,7;149,98;2,25;6,21;7,75;0,637;0,1072;645,18
12;11,77801;0,00787;14,81;2,53;1,63;0,066;2,5;50,21;0,56;0,3;0,14;75611,07;11623,3;201,93;0,05;60;74,99;25;0,7;149,95;2,85;5,26;9,64;0,6463;0,1357;657,78
13;13,07722;0,00809;14,92;2,59;1,61;0,067;2,45;50,96;0,54;0,3;0,14;74365,82;12056,54;198,27;0,05;59,99;83;27;0,7;149,95;3,13;4,81;10,69;0,638;0,1413;705,68
14;12,34333;0,00815;15,03;2,63;1,63;0,064;2,41;50,12;0,58;0,3;0,14;74636,12;12389,58;197,07;0,05;60,02;92;30;0,7;149,96;3,12;4,23;13,19;0,649;0,1415;760,66
15;12,56027;0,00815;15,13;2,66;1,68;0,066;2,38;49,1;0,53;0,3;0,14;75886,19;12192,85;200,81;0,05;59,99;99,98;20;0,7;149,98;1,86;7,93;9,3;0,667;0,1423;700,73
16;12,95806;0,00777;15,22;2,65;1,69;0,067;2,38;49,76;0,54;0,3;0,13;75347,85;11967,72;205,27;0,05;59,99;109,99;23;0,7;150;2,84;6,91;9,26;0,6726;0,1428;766,09
17;12,54895;0,00807;15,29;2,63;1,67;0,066;2,39;50,44;0,5;0,3;0,13;75045,69;12039,65;204,72;0,05;74,98;75,02;27;0,7;150,01;3,02;6,1;12,07;0,6857;0,1709;756,42
18;12,64137;0,00767;15,33;2,6;1,66;0,069;2,43;49,04;0,54;0,3;0,13;76058,15;12017,01;199,8;0,05;74,96;83,04;30;0,7;150,02;3,06;5,22;14,53;0,685;0,177;807,81
19;11,42576;0,00824;15,35;2,57;1,69;0,07;2,47;47,63;0,55;0,3;0,13;75411,84;11835,56;197,2;0,05;75;92,02;20;0,7;150,02;1,78;9,61;10,51;0,6872;0,1771;744,62
20;12,34907;0,0081;15,34;2,55;1,73;0,068;2,52;49,35;0,56;0,3;0,13;73962,25;11913,47;200,86;0,05;74,99;99,98;25;0,7;150,03;3,21;7,39;10,8;0,6983;0,1781;819,04
21;13,27149;0,00803;15,3;2,56;1,74;0,069;2,57;52,6;0,55;0,3;0,12;74332,79;12100,27;206,44;0,05;75,02;109,97;25;0,7;150,04;3,36;7,45;10,75;0,7177;0,1787;860,37
