Номер;Дебет реки;Электролиты в реке;Температура воды;Цена полимерной добавки;Цена волокнистой добавки;Цена электроэнергии;Цена речной воды;Цена сырья;Цена выброса в атмосферу;Цена слива в реку;Цена коагулянта;Расход промывной воды;Расход речной воды;Расход деминерализованной воды;Допустимо сульфата AL;Расход полимера;Расход волокна;Степень помола;Концентрация при отливе;Скорость;Прочность;Пластичность;Влагопрочность;Загрязнение воды;Загрязнение атмосферы;Затраты на производство
1;13,17819;0,00766;14,97;2,47;1,70;0,066;2,52;47,39;0,57;0,29;0,13;75352,15;11936,21;205,07;0,0500;30,00;29,99;20,00;0,700;150,02;0,58;4,96;6,71;0,6519;0,0783;364,38;
2;13,17636;0,00770;14,94;2,52;1,71;0,067;2,47;49,03;0,54;0,29;0,13;75439,27;12050,62;202,63;0,0500;30,02;30,00;20,00;0,700;150,00;0,60;4,92;6,67;0,6487;0,0754;372,52;
3;13,16672;0,00784;14,79;2,59;1,71;0,068;2,37;48,09;0,53;0,30;0,12;75426,74;12265,61;201,29;0,0500;30,01;30,00;20,00;0,700;149,97;0,68;4,73;6,53;0,6513;0,0749;377,16;
4;13,14928;0,00789;13,77;2,63;1,70;0,069;2,31;48,15;0,54;0,29;0,13;75323,49;12437,74;202,77;0,0500;30,00;30,00;20,00;0,700;149,96;1,20;3,47;5,62;0,6411;0,0745;381,30;
5;13,12418;0,00776;14,58;2,64;1,69;0,070;2,32;52,08;0,56;0,29;0,14;75229,63;12443,80;205,65;0,0500;30,00;29,99;20,01;0,700;149,98;0,80;4,46;6,33;0,6320;0,0738;387,91;
6;13,09170;0,00762;14,03;2,63;1,68;0,069;2,40;50,64;0,56;0,29;0,13;75268,04;12290,97;206,84;0,0500;45,00;59,98;25,01;0,700;150,01;2,84;3,12;8,19;0,6206;0,1028;570,40;
7;13,05227;0,00765;15,24;2,64;1,67;0,069;2,49;47,25;0,56;0,29;0,13;75492,24;12108,61;204,85;0,0500;45,00;59,99;25,01;0,700;150,03;2,35;4,75;8,94;0,6226;0,1057;561,75;
8;13,00642;0,00788;15,24;2,65;1,67;0,068;2,54;48,81;0,56;0,28;0,13;75830,90;12029,63;201,37;0,0500;45,01;60,00;25,01;0,700;150,04;2,35;4,75;8,94;0,6219;0,1062;560,53;
9;12,95484;0,00812;15,21;2,63;1,67;0,067;2,52;48,57;0,54;0,29;0,13;76109,77;12072,33;199,52;0,0500;44,99;59,99;25,01;0,700;150,02;2,36;4,71;8,92;0,6332;0,1065;555,80;
10;12,89828;0,00817;15,44;2,57;1,67;0,067;2,49;48,06;0,53;0,30;0,13;76146,11;12132,37;200,62;0,0500;44,98;60,00;25,01;0,700;149,99;2,26;5,02;9,08;0,6399;0,1070;551,13;
11;12,83761;0,00807;14,45;2,52;1,69;0,067;2,51;51,82;0,55;0,31;0,13;75863,98;12090,78;202,84;0,0500;59,98;90,03;30,00;0,700;149,98;3,26;3,35;13,04;0,6389;0,1370;765,16;
12;12,77374;0,00801;15,39;2,53;1,70;0,068;2,59;51,10;0,57;0,29;0,13;75361,55;11934,75;203,19;0,0500;59,99;90,05;29,99;0,700;149,97;2,98;4,72;13,36;0,6452;0,1403;766,61;
13;12,70765;0,00813;14,92;2,59;1,71;0,069;2,69;47,21;0,56;0,28;0,13;74882,97;11776,22;200,67;0,0500;60,00;90,03;30,00;0,700;149,98;3,12;4,03;13,19;0,6461;0,1412;771,09;
14;12,64035;0,00833;15,90;2,65;1,72;0,070;2,73;48,50;0,54;0,28;0,13;74700,12;11749,68;197,42;0,0500;60,00;90,01;30,00;0,700;150,00;2,81;5,47;13,58;0,6596;0,1417;781,21;
15;12,57284;0,00840;15,93;2,65;1,73;0,070;2,69;49,02;0,54;0,29;0,13;74962,70;11884,70;196,46;0,0500;60,00;90,02;30,00;0,700;150,00;2,80;5,50;13,58;0,6733;0,1425;782,77;
16;12,50615;0,00825;15,46;2,60;1,72;0,070;2,59;48,09;0,56;0,29;0,13;75599,11;12073,28;198,58;0,0500;74,99;120,03;34,99;0,700;150,01;2,24;4,99;20,89;0,6825;0,1730;1021,78;
17;12,44122;0,00803;15,61;2,55;1,71;0,068;2,51;51,48;0,56;0,29;0,13;76329,34;12163,66;201,51;0,0500;75,01;120,00;34,99;0,700;150,01;2,21;5,22;20,92;0,6997;0,1761;1008,88;
18;12,37900;0,00796;14,29;2,57;1,70;0,067;2,50;51,52;0,54;0,30;0,13;76793,24;12094,15;202,31;0,0500;75,02;119,97;35,01;0,700;150,02;2,44;3,18;20,86;0,7060;0,1769;998,99;
